epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.99676,1.09717,0.26087,1,1.48763,0.00025722,0.00025722,0.00025722
2,9.85883,0.5656,0.2029,1,2.43034,0.000517825,0.000517825,0.000517825
3,14.4864,0.39642,0.18841,1,2.99154,0.00076723,0.00076723,0.00076723
4,18.0467,0.27396,0.10145,1,5.21354,0.00100544,0.00100544,0.00100544
5,21.6532,0.39092,0.15942,1,3.04362,0.00123244,0.00123244,0.00123244
6,26.9881,0.25008,0.18841,1,3.85872,0.00128163,0.00128163,0.00128163
7,30.9186,0.26189,0.13043,1,4.0638,0.00125216,0.00125216,0.00125216
8,34.456,0.19223,0.14493,1,10.2305,0.00122269,0.00122269,0.00122269
9,38.3877,0.28164,0.21739,1,6.23307,0.00119322,0.00119322,0.00119322
10,43.1736,0.1207,0.14493,1,5.21615,0.00116374,0.00116374,0.00116374
11,46.84,0.15705,0.2029,1,5.89844,0.00113427,0.00113427,0.00113427
12,50.5863,0.15844,0.2029,1,4.84505,0.0011048,0.0011048,0.0011048
13,56.0666,0.16331,0.18841,1,7.21224,0.00107532,0.00107532,0.00107532
14,59.6607,0.14916,0.14493,1,6.42253,0.00104585,0.00104585,0.00104585
15,63.1923,0.24166,0.21739,1,5.81641,0.00101638,0.00101638,0.00101638
16,67.421,0.19692,0.2029,1,6.35677,0.000986903,0.000986903,0.000986903
17,74.0832,0.13525,0.18841,1,5.03125,0.00095743,0.00095743,0.00095743
18,77.6523,0.06679,0.24638,1,4.75651,0.000927957,0.000927957,0.000927957
19,81.1975,0.22236,0.26087,1,4.94141,0.000898484,0.000898484,0.000898484
20,86.1339,0.08624,0.17391,1,5.54818,0.000869011,0.000869011,0.000869011
21,90.4801,0.24002,0.21739,1,4.86719,0.000839537,0.000839537,0.000839537
22,94.1498,0.18876,0.27536,1,4.04557,0.000810064,0.000810064,0.000810064
23,97.8097,0.1428,0.26087,1,4.12826,0.000780591,0.000780591,0.000780591
24,103.715,0.17704,0.23188,1,6.69141,0.000751118,0.000751118,0.000751118
25,107.526,0.06161,0.2029,1,6.27083,0.000721645,0.000721645,0.000721645
26,112.239,0.15102,0.21739,1,5.48438,0.000692172,0.000692172,0.000692172
27,118.532,0.11166,0.18841,1,4.91536,0.000662699,0.000662699,0.000662699
28,122.283,0.05829,0.24638,1,4.01628,0.000633226,0.000633226,0.000633226
29,126.532,0.07845,0.24638,1,4.73763,0.000603752,0.000603752,0.000603752
30,131.837,0.10239,0.27536,1,4.625,0.000574279,0.000574279,0.000574279
31,135.802,0.08235,0.23188,1,4.28451,0.000544806,0.000544806,0.000544806
32,140.104,0.06511,0.24638,1,4.69401,0.000515333,0.000515333,0.000515333
33,144.783,0.07732,0.23188,1,4.83138,0.00048586,0.00048586,0.00048586
34,149.746,0.07132,0.23188,1,5.52214,0.000456387,0.000456387,0.000456387
35,153.967,0.05849,0.24638,1,5.17448,0.000426914,0.000426914,0.000426914
36,158.334,0.04398,0.30435,1,3.34049,0.000397441,0.000397441,0.000397441
37,164.009,0.07746,0.26087,1,3.79167,0.000367967,0.000367967,0.000367967
38,167.688,0.07212,0.23188,1,4.99349,0.000338494,0.000338494,0.000338494
39,173.248,0.03899,0.24638,1,3.65853,0.000309021,0.000309021,0.000309021
40,179.314,0.06435,0.24638,1,4.18945,0.000279548,0.000279548,0.000279548
41,183.201,0.05795,0.26087,1,3.94076,0.000250075,0.000250075,0.000250075
42,187.738,0.03622,0.27536,1,4.14388,0.000220602,0.000220602,0.000220602
43,193.267,0.08937,0.24638,1,4.62891,0.000191129,0.000191129,0.000191129
44,197.382,0.05142,0.27536,1,3.98438,0.000161656,0.000161656,0.000161656
45,201.118,0.05409,0.26087,1,3.36816,0.000132183,0.000132183,0.000132183
46,206.603,0.03626,0.26087,1,4.31901,0.000102709,0.000102709,0.000102709
47,210.841,0.03397,0.28986,1,4.44857,7.32362e-05,7.32362e-05,7.32362e-05
48,214.453,0.0433,0.26087,1,4.64388,4.37631e-05,4.37631e-05,4.37631e-05
